Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.042,0.23046036690896501,0.045950155763239874,0.24402907580477673,0.4014018691588785
2,00:00:00.083,0.33013153340256146,0.07398753894080996,0.3492731048805815,0.5671339563862928
3,00:00:00.125,0.2821910695742471,0.06552440290758048,0.3011422637590862,0.47990654205607475
4,00:00:00.167,0.29567324333679473,0.05446521287642783,0.3111111111111111,0.5214434060228452
5,00:00:00.209,0.41971270335756317,0.08530633437175493,0.4515576323987539,0.7222741433021806
6,00:00:00.250,0.38219106957424714,0.09698857736240914,0.35539979231568014,0.6941848390446521
7,00:00:00.292,0.2650917272412599,0.059865005192107995,0.27050882658359293,0.4649013499480789
8,00:00:00.334,0.24806161301488405,0.11298026998961579,0.2060747663551402,0.42512980269989614
9,00:00:00.375,0.2661993769470405,0.09325025960539979,0.25508826583592936,0.4502596053997923
10,00:00:00.417,0.41180339217722395,0.09454828660436138,0.4073208722741433,0.7335410176531671
11,00:00:00.459,0.29357909311180336,0.12107995846313603,0.21910695742471442,0.5405503634475597
12,00:00:00.500,0.07639321564555208,0.025908618899273105,0.04631360332294912,0.15695742471443405
13,00:00:00.542,0.4107649705780547,0.16251298026998962,0.2902907580477674,0.7794911734164071
14,00:00:00.584,0.24570785739010037,0.10586708203530633,0.1671858774662513,0.4640706126687435
15,00:00:00.626,0.4327102803738318,0.15389408099688473,0.34319833852544135,0.8010384215991693
16,00:00:00.667,0.1929214260989962,0.043457943925233646,0.13058151609553478,0.40472481827622014
17,00:00:00.709,0.2176704742125303,0.10669781931464174,0.13504672897196263,0.4112668743509865
18,00:00:00.751,0.2898407753547941,0.10202492211838006,0.19579439252336447,0.5717030114226376
19,00:00:00.792,0.1824852890273451,0.07424714434060228,0.12518172377985462,0.3480269989615784
20,00:00:00.834,0.28040844582900654,0.1996884735202492,0.10841121495327102,0.5331256490134995
21,00:00:00.876,0.2078920041536864,0.09070612668743509,0.14008307372793355,0.39288681204569054
22,00:00:00.918,0.27968155070958806,0.20778816199376948,0.1470404984423676,0.4842159916926272
23,00:00:00.959,73.94330218068536,24.214797507788163,109.48328141225338,88.13182762201454
24,00:00:01.001,0.029889235029421948,0.002284527518172378,0.05327102803738318,0.03411214953271028
25,00:00:01.043,0.0365178262374524,0.008982346832814122,0.05934579439252336,0.04122533748701973
26,00:00:01.084,0.01872620283835237,0.006749740394600207,0.026531671858774662,0.022897196261682243
27,00:00:01.126,0.00842852197992385,0.00347871235721703,0.011007268951194185,0.010799584631360333
28,00:00:01.168,0.016372447213568706,0.0062824506749740395,0.027362409138110073,0.015472481827622014
29,00:00:01.210,0.002769124264451367,0.0,0.005970924195223261,0.002336448598130841
30,00:00:01.251,0.0,0.0,0.0,0.0
31,00:00:01.293,0.0025268258913118727,0.0007268951194184839,0.004465212876427829,0.0023883696780893043
32,00:00:01.335,0.021581862236067843,0.007632398753894081,0.030269989615784008,0.026843198338525442
33,00:00:01.376,0.014745586708203534,0.005711318795430945,0.02232606438213915,0.0161993769470405
34,00:00:01.418,0.038698511595707856,0.009709241952232606,0.02320872274143302,0.08317757009345794
35,00:00:01.460,0.11922810661128418,0.03395638629283489,0.047975077881619935,0.2757528556593977
36,00:00:01.501,0.21761855313257183,0.11230529595015576,0.10804776739356178,0.43250259605399793
37,00:00:01.543,0.2686742817583939,0.1614226375908619,0.13992731048805815,0.5046728971962616
38,00:00:01.585,0.36614745586708203,0.2593977154724818,0.21417445482866043,0.6248701973001038
39,00:00:01.627,0.4319833852544133,0.23219106957424715,0.302128764278297,0.7616303219106958
40,00:00:01.668,0.43300449982692973,0.21583592938733126,0.31568016614745587,0.7674974039460021
41,00:00:01.710,0.4223606784354448,0.24402907580477673,0.2834890965732087,0.7395638629283489
42,00:00:01.752,0.4670474212530287,0.24532710280373832,0.37061266874350984,0.785202492211838
43,00:00:01.793,0.4626341294565594,0.20700934579439254,0.39766355140186915,0.7832294911734164
44,00:00:01.835,0.4035652474904811,0.13961578400830738,0.3256490134994808,0.7454309449636553
45,00:00:01.877,0.361024575977847,0.1146417445482866,0.2968847352024922,0.6715472481827622
46,00:00:01.919,0.3181031498788508,0.09932502596053998,0.24350986500519212,0.6114745586708203
47,00:00:01.960,0.28106611284181376,0.08769470404984424,0.23790238836967809,0.517601246105919
48,00:00:02.002,0.2857563170647283,0.1023883696780893,0.25726895119418486,0.4976116303219107
49,00:00:02.044,0.15515749394254066,0.04750778816199377,0.11682242990654206,0.3011422637590862
50,00:00:02.085,0.09105226722049152,0.02554517133956386,0.07237798546209762,0.17523364485981308
51,00:00:02.127,0.03793700242298373,0.012045690550363447,0.022066458982346833,0.07969885773624091
52,00:00:02.169,0.002197992384908273,0.0008307372793354102,0.0024922118380062306,0.0032710280373831778
53,00:00:02.211,0.0025268258913118727,0.000778816199376947,0.0036344755970924196,0.0031671858774662514
54,00:00:02.252,0.002371062651436483,0.0008826583592938733,0.0036863966770508826,0.0025441329179646936
55,00:00:02.294,0.0017826237452405677,0.0009345794392523365,0.001973001038421599,0.0024402907580477673
56,00:00:02.336,0.003928695050190377,0.002336448598130841,0.004620976116303219,0.004828660436137072
57,00:00:02.377,0.0026306680512287995,0.0009345794392523365,0.0032710280373831778,0.0036863966770508826
58,00:00:02.419,139.52097611630322,104.56334371754933,223.35290758047768,90.64667705088266
59,00:00:02.461,0.0,0.0,0.0,0.0
60,00:00:02.502,0.0,0.0,0.0,0.0
61,00:00:02.544,0.0,0.0,0.0,0.0
62,00:00:02.586,0.0,0.0,0.0,0.0
63,00:00:02.628,0.0,0.0,0.0,0.0
64,00:00:02.669,5.529456559363101,4.5914330218068535,0.6967808930425753,11.300155763239875
65,00:00:02.711,6.983333333333334,5.487383177570093,2.260228452751817,13.20238836967809
66,00:00:02.753,4.96521287642783,3.5084631360332295,2.00809968847352,9.37907580477674
67,00:00:02.794,5.650415368639668,4.190342679127726,2.5031152647975077,10.25778816199377
68,00:00:02.836,8.241744548286604,6.360020768431983,2.588006230529595,15.777206645898234
69,00:00:02.878,7.6048113534094846,5.708515057113188,2.785669781931464,14.3202492211838
70,00:00:02.920,6.3157667012807215,4.569730010384216,2.05404984423676,12.323520249221184
71,00:00:02.961,3.421443406022845,2.1736240913811007,1.239460020768432,6.851246105919003
72,00:00:03.003,2.0457943925233644,1.2492731048805814,1.0413811007268952,3.8467289719626168
73,00:00:03.045,1.0613361024575978,0.4353063343717549,0.5601246105919003,2.1885773624091382
74,00:00:03.086,0.4829006576670128,0.20545171339563864,0.29132917964693666,0.9519210799584631
75,00:00:03.128,0.31436483212184146,0.10134994807892005,0.20456905503634476,0.6371754932502596
76,00:00:03.170,0.12533748701973002,0.03307372793354102,0.08935617860851505,0.25358255451713396
77,00:00:03.212,0.09193492557978539,0.026843198338525442,0.06277258566978193,0.1861889927310488
